Net Asset Value,Repurchase Price,Sale Price,NAV date
26.445,26.181,26.445,01-Mar-13
26.311,26.048,26.311,04-Mar-13
26.71,26.443,26.71,05-Mar-13
27.109,26.838,27.109,06-Mar-13
27.367,27.093,27.367,07-Mar-13
27.585,27.309,27.585,08-Mar-13
27.575,27.299,27.575,11-Mar-13
27.392,27.118,27.392,12-Mar-13
26.97,26.7,26.97,13-Mar-13
27.321,27.048,27.321,14-Mar-13
27.066,26.795,27.066,15-Mar-13
26.833,26.565,26.833,18-Mar-13
26.334,26.071,26.334,19-Mar-13
25.861,25.602,25.861,20-Mar-13
25.664,25.407,25.664,21-Mar-13
25.553,25.297,25.553,22-Mar-13
25.499,25.244,25.499,25-Mar-13
25.608,25.352,25.608,26-Mar-13
25.941,25.682,25.941,28-Mar-13
26.104,25.843,26.104,01-Apr-13
26.457,26.192,26.457,02-Apr-13
26.164,25.902,26.164,03-Apr-13
25.756,25.498,25.756,04-Apr-13
25.788,25.53,25.788,05-Apr-13
25.696,25.439,25.696,08-Apr-13
25.425,25.171,25.425,09-Apr-13
25.571,25.315,25.571,10-Apr-13
25.774,25.516,25.774,11-Apr-13
25.37,25.116,25.37,12-Apr-13
25.57,25.314,25.57,15-Apr-13
25.868,25.609,25.868,16-Apr-13
25.914,25.655,25.914,17-Apr-13
26.282,26.019,26.282,18-Apr-13
26.529,26.264,26.529,22-Apr-13
26.477,26.212,26.477,23-Apr-13
26.632,26.366,26.632,25-Apr-13
26.389,26.125,26.389,26-Apr-13
26.475,26.21,26.475,29-Apr-13
26.582,26.316,26.582,30-Apr-13
26.77,26.502,26.77,02-May-13
26.42,26.156,26.42,03-May-13
26.534,26.269,26.534,06-May-13
26.724,26.457,26.724,07-May-13
26.603,26.337,26.603,08-May-13
26.578,26.312,26.578,09-May-13
26.721,26.454,26.721,10-May-13
26.302,26.039,26.302,13-May-13
26.378,26.114,26.378,14-May-13
26.902,26.633,26.902,15-May-13
27.028,26.758,27.028,16-May-13
27.164,26.892,27.164,17-May-13
27.053,26.782,27.053,20-May-13
26.838,26.57,26.838,21-May-13
26.65,26.384,26.65,22-May-13
25.881,25.622,25.881,23-May-13
25.956,25.696,25.956,24-May-13
26.101,25.84,26.101,27-May-13
26.24,25.978,26.24,28-May-13
26.077,25.816,26.077,29-May-13
26.113,25.852,26.113,30-May-13
25.75,25.493,25.75,31-May-13
25.744,25.487,25.744,03-Jun-13
25.69,25.433,25.69,04-Jun-13
25.587,25.331,25.587,05-Jun-13
25.686,25.429,25.686,06-Jun-13
25.586,25.33,25.586,07-Jun-13
25.444,25.19,25.444,10-Jun-13
24.995,24.745,24.995,11-Jun-13
24.828,24.58,24.828,12-Jun-13
24.511,24.266,24.511,13-Jun-13
24.913,24.664,24.913,14-Jun-13
24.959,24.709,24.959,17-Jun-13
24.851,24.602,24.851,18-Jun-13
24.855,24.606,24.855,19-Jun-13
24.142,23.901,24.142,20-Jun-13
24.001,23.761,24.001,21-Jun-13
23.485,23.25,23.485,24-Jun-13
23.4,23.166,23.4,25-Jun-13
23.392,23.158,23.392,26-Jun-13
23.673,23.436,23.673,27-Jun-13
24.378,24.134,24.378,28-Jun-13
24.724,24.477,24.724,01-Jul-13
24.616,24.37,24.616,02-Jul-13
23.969,23.729,23.969,03-Jul-13
24.19,23.948,24.19,04-Jul-13
24.212,23.97,24.212,05-Jul-13
23.954,23.714,23.954,08-Jul-13
24.192,23.95,24.192,09-Jul-13
24.044,23.804,24.044,10-Jul-13
24.4,24.156,24.4,11-Jul-13
24.855,24.606,24.855,12-Jul-13
24.954,24.704,24.954,15-Jul-13
24.444,24.2,24.444,16-Jul-13
24.254,24.011,24.254,17-Jul-13
24.475,24.23,24.475,18-Jul-13
24.492,24.247,24.492,19-Jul-13
24.471,24.226,24.471,22-Jul-13
24.604,24.358,24.604,23-Jul-13
24.153,23.911,24.153,24-Jul-13
23.965,23.725,23.965,25-Jul-13
23.618,23.382,23.618,26-Jul-13
23.446,23.212,23.446,29-Jul-13
23.13,22.899,23.13,30-Jul-13
23.184,22.952,23.184,31-Jul-13
22.941,22.712,22.941,01-Aug-13
22.679,22.452,22.679,02-Aug-13
22.713,22.486,22.713,05-Aug-13
22.181,21.959,22.181,06-Aug-13
22.506,22.281,22.506,07-Aug-13
22.679,22.452,22.679,08-Aug-13
22.846,22.618,22.846,12-Aug-13
23.163,22.931,23.163,13-Aug-13
23.475,23.24,23.475,14-Aug-13
22.615,22.389,22.615,16-Aug-13
22.295,22.072,22.295,19-Aug-13
