Net Asset Value,Repurchase Price,Sale Price,NAV date
12.5881,12.5566,12.5881,01-Mar-13
12.5977,12.5662,12.5977,04-Mar-13
12.6,12.5685,12.6,05-Mar-13
12.6107,12.5792,12.6107,06-Mar-13
12.6188,12.5873,12.6188,07-Mar-13
12.6227,12.5911,12.6227,08-Mar-13
12.6324,12.6008,12.6324,11-Mar-13
12.6321,12.6005,12.6321,12-Mar-13
12.6416,12.61,12.6416,13-Mar-13
12.6555,12.6239,12.6555,14-Mar-13
12.6616,12.6299,12.6616,15-Mar-13
12.6684,12.6367,12.6684,18-Mar-13
12.6695,12.6378,12.6695,19-Mar-13
12.6736,12.6419,12.6736,20-Mar-13
12.6784,12.6467,12.6784,21-Mar-13
12.6813,12.6496,12.6813,22-Mar-13
12.6935,12.6618,12.6935,25-Mar-13
12.6983,12.6666,12.6983,26-Mar-13
12.7062,12.6744,12.7062,28-Mar-13
12.7299,12.6981,12.7299,02-Apr-13
12.7461,12.7142,12.7461,03-Apr-13
12.7498,12.7179,12.7498,04-Apr-13
12.7533,12.7214,12.7533,05-Apr-13
12.7609,12.729,12.7609,08-Apr-13
12.7631,12.7312,12.7631,09-Apr-13
12.7683,12.7364,12.7683,10-Apr-13
12.7776,12.7457,12.7776,12-Apr-13
12.792,12.76,12.792,15-Apr-13
12.7983,12.7663,12.7983,16-Apr-13
12.8076,12.7756,12.8076,17-Apr-13
12.8134,12.7814,12.8134,18-Apr-13
12.8309,12.7988,12.8309,22-Apr-13
12.8371,12.805,12.8371,23-Apr-13
12.8442,12.8121,12.8442,25-Apr-13
12.847,12.8149,12.847,26-Apr-13
12.855,12.8229,12.855,29-Apr-13
12.8675,12.8353,12.8675,30-Apr-13
12.8794,12.8472,12.8794,02-May-13
12.8908,12.8586,12.8908,03-May-13
12.8971,12.8649,12.8971,06-May-13
12.9056,12.8733,12.9056,07-May-13
12.9102,12.8779,12.9102,08-May-13
12.9185,12.8862,12.9185,09-May-13
12.9248,12.8925,12.9248,10-May-13
12.9326,12.9003,12.9326,13-May-13
12.9486,12.9162,12.9486,14-May-13
12.9614,12.929,12.9614,15-May-13
12.9657,12.9333,12.9657,16-May-13
12.9669,12.9345,12.9669,17-May-13
12.9799,12.9475,12.9799,20-May-13
12.9833,12.9508,12.9833,21-May-13
12.9812,12.9487,12.9812,22-May-13
12.9773,12.9449,12.9773,23-May-13
12.9802,12.9477,12.9802,24-May-13
12.9882,12.9557,12.9882,27-May-13
12.9818,12.9493,12.9818,28-May-13
12.9707,12.9383,12.9707,29-May-13
12.9717,12.9393,12.9717,30-May-13
12.9702,12.9378,12.9702,31-May-13
12.9849,12.9524,12.9849,03-Jun-13
12.9894,12.9569,12.9894,04-Jun-13
12.9941,12.9616,12.9941,05-Jun-13
13.0003,12.9678,13.0003,06-Jun-13
13.0016,12.9366,13.0016,07-Jun-13
13.0005,12.9355,13.0005,10-Jun-13
12.9941,12.9291,12.9941,11-Jun-13
12.9936,12.9286,12.9936,12-Jun-13
12.9919,12.9269,12.9919,13-Jun-13
12.9966,12.9316,12.9966,14-Jun-13
13.0172,12.9521,13.0172,17-Jun-13
13.0236,12.9585,13.0236,18-Jun-13
13.0299,12.9648,13.0299,19-Jun-13
13.0153,12.9502,13.0153,20-Jun-13
13.0113,12.9462,13.0113,21-Jun-13
13.0027,12.9377,13.0027,24-Jun-13
13.0054,12.9404,13.0054,25-Jun-13
12.9946,12.9296,12.9946,26-Jun-13
12.9931,12.9281,12.9931,27-Jun-13
13.021,12.9559,13.021,28-Jun-13
13.0388,12.9736,13.0388,02-Jul-13
13.0331,12.9679,13.0331,03-Jul-13
13.0436,12.9784,13.0436,04-Jul-13
13.0457,12.9805,13.0457,05-Jul-13
13.0443,12.9791,13.0443,08-Jul-13
13.0419,12.9767,13.0419,09-Jul-13
13.0448,12.9796,13.0448,10-Jul-13
13.0479,12.9827,13.0479,11-Jul-13
13.0502,12.9849,13.0502,12-Jul-13
13.0527,12.9874,13.0527,15-Jul-13
12.8729,12.8085,12.8729,16-Jul-13
12.8867,12.8223,12.8867,17-Jul-13
12.9175,12.8529,12.9175,18-Jul-13
12.9278,12.8632,12.9278,19-Jul-13
12.9261,12.8615,12.9261,22-Jul-13
12.8818,12.8174,12.8818,23-Jul-13
12.8263,12.7622,12.8263,24-Jul-13
12.8372,12.773,12.8372,25-Jul-13
12.8439,12.7797,12.8439,26-Jul-13
12.858,12.7937,12.858,29-Jul-13
12.8507,12.7864,12.8507,30-Jul-13
12.835,12.7708,12.835,31-Jul-13
12.8541,12.7898,12.8541,01-Aug-13
12.8604,12.7961,12.8604,02-Aug-13
12.88,12.8156,12.88,05-Aug-13
12.8766,12.8122,12.8766,06-Aug-13
12.9008,12.8363,12.9008,07-Aug-13
12.9072,12.8427,12.9072,08-Aug-13
12.9047,12.8402,12.9047,12-Aug-13
12.8864,12.822,12.8864,13-Aug-13
12.8714,12.807,12.8714,14-Aug-13
12.8509,12.7866,12.8509,16-Aug-13
12.7663,12.7025,12.7663,19-Aug-13
12.7854,12.7215,12.7854,20-Aug-13
12.8574,12.7931,12.8574,21-Aug-13
12.8486,12.7844,12.8486,22-Aug-13
12.8748,12.8104,12.8748,23-Aug-13
12.8879,12.8235,12.8879,26-Aug-13
12.8609,12.7966,12.8609,27-Aug-13
12.8194,12.7553,12.8194,28-Aug-13
12.8269,12.7628,12.8269,29-Aug-13
12.8601,12.7958,12.8601,30-Aug-13
12.8977,12.8332,12.8977,02-Sep-13
12.904,12.8395,12.904,03-Sep-13
12.9294,12.8648,12.9294,04-Sep-13
12.977,12.9121,12.977,05-Sep-13
12.9781,12.9132,12.9781,06-Sep-13
13.0005,12.9355,13.0005,10-Sep-13
13.0096,12.9446,13.0096,11-Sep-13
13.0122,12.9471,13.0122,12-Sep-13
13.0114,12.9463,13.0114,13-Sep-13
13.0254,12.9603,13.0254,16-Sep-13
13.0297,12.9646,13.0297,17-Sep-13
13.0536,12.9883,13.0536,18-Sep-13
