Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-01,2018-02-01,2018-03-01,1572.260642521367,88850.02116952497,56.511,14
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-02,2018-02-02,2018-03-02,1571.5713798984527,88811.07024944147,56.511,14
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-03,2018-02-03,2018-03-03,1572.201473672932,88846.67747873107,56.511,14
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-04,2018-02-04,2018-03-04,1573.6490444719038,88928.48115215175,56.511,14
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-05,2018-02-05,2018-03-05,1574.0803433775893,88320.07398657316,56.109,14
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-06,2018-02-06,2018-03-06,1575.060101323554,87340.23273859371,55.452,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-07,2018-02-07,2018-03-07,1574.0982365396292,86136.22960168505,54.721,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-08,2018-02-08,2018-03-08,1570.2209046175872,86803.38182816483,55.281,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-09,2018-02-09,2018-03-09,1568.8481979410508,86034.06632688928,54.839,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-10,2018-02-10,2018-03-10,1566.3078832349206,85894.75800871981,54.839,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-11,2018-02-11,2018-03-11,1564.6519405784534,85803.9477693818,54.839,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-12,2018-02-12,2018-03-12,1564.1633140996873,86737.54825676997,55.453,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-13,2018-02-13,2018-03-13,1563.6370727772444,87233.74865316969,55.789,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-14,2018-02-14,2018-03-14,1561.3189695324975,86949.85341326478,55.69,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-15,2018-02-15,2018-03-15,1561.6751130320486,86815.08120856462,55.591,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-16,2018-02-16,2018-03-16,1561.814705316304,85560.89500134309,54.783,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-17,2018-02-17,2018-03-17,1560.4456317286376,85485.89304298996,54.783,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-18,2018-02-18,2018-03-18,1560.496281564515,85488.66779294882,54.783,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-19,2018-02-19,2018-03-19,1560.2060349047404,84522.6017349294,54.174,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-20,2018-02-20,2018-03-20,1561.357661654848,84858.22755327933,54.349,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-21,2018-02-21,2018-03-21,1562.655179285365,85011.56706348242,54.402,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-22,2018-02-22,2018-03-22,1560.513608402831,83695.02635946905,53.633,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-23,2018-02-23,2018-03-23,1559.2839728509784,82603.06846178058,52.975,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-24,2018-02-24,2018-03-24,1559.8681938303987,82634.01756816538,52.975,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-25,2018-02-25,2018-03-25,1557.615213097735,82514.66591385251,52.975,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-26,2018-02-26,2018-03-26,1557.6344154742442,83504.78101357423,53.61,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-27,2018-02-27,2018-03-27,1557.9059226186848,84172.09909316493,54.029,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-28,2018-02-28,2018-03-28,1556.756531694247,83484.18252516739,53.627,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-29,2018-02-28,2018-03-29,1554.09267915482,83341.32810503553,53.627,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-30,2018-02-28,2018-03-30,1552.3956508265246,83250.32156687404,53.627,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-03-31,2018-02-28,2018-03-31,1551.6633488704642,83211.05040987639,53.627,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-01,2018-03-01,2018-04-01,1550.97408624755,83174.08732319737,53.627,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-02,2018-03-02,2018-04-02,1551.6786069741527,83955.12270894351,54.106,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-03,2018-03-03,2018-04-03,1553.216819655845,84786.99975137327,54.588,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-04,2018-03-04,2018-04-04,1554.095625916221,83757.98375875474,53.895,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-05,2018-03-05,2018-04-05,1555.4100930000884,85634.65808021286,55.056,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-06,2018-03-06,2018-04-06,1554.9126615594728,85904.25981317619,55.247,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-07,2018-03-07,2018-04-07,1551.3241024568667,85706.00268843451,55.247,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-08,2018-03-08,2018-04-08,1549.9513957803301,85630.1647626759,55.247,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-09,2018-03-09,2018-04-09,1547.219554127662,85561.2413432597,55.3,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-10,2018-03-10,2018-04-10,1545.5504649304848,86029.97552942557,55.663,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-11,2018-03-11,2018-04-11,1544.905416424642,85635.65213783433,55.431,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-12,2018-03-12,2018-04-12,1543.8210507169426,85583.26376754443,55.436,13
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-13,2018-03-13,2018-04-13,1542.1794567914728,85231.63203849434,55.267,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-14,2018-03-14,2018-04-14,1542.1907588020397,85232.25666671233,55.267,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-15,2018-03-15,2018-04-15,1542.3303510862952,85239.97151348628,55.267,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-16,2018-03-16,2018-04-16,1541.2498630167358,85047.70869112649,55.181,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-17,2018-03-17,2018-04-17,1541.0090444008044,85216.25914632008,55.299,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-18,2018-03-18,2018-04-18,1540.0094584219778,85037.78228460319,55.219,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-19,2018-03-19,2018-04-19,1540.5232918009253,85029.18309095208,55.195,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-20,2018-03-20,2018-04-20,1541.314964223246,84610.4849610351,54.895,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-21,2018-03-21,2018-04-21,1539.004132405077,84483.6318483767,54.895,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-22,2018-03-22,2018-04-22,1537.7744968532245,84416.13100475776,54.895,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-23,2018-03-23,2018-04-23,1538.1145703891912,84607.06817339823,55.007,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-24,2018-03-24,2018-04-24,1535.9705195129986,84175.79238087086,54.803,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-25,2018-03-25,2018-04-25,1536.1789106335739,83377.64655354786,54.276,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-26,2018-03-26,2018-04-26,1536.5512957060123,83193.49680341063,54.143,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-27,2018-03-27,2018-04-27,1535.903186491165,84006.22478513427,54.695,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-28,2018-03-28,2018-04-28,1533.239333951738,83860.52537049032,54.695,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-29,2018-03-29,2018-04-29,1531.5423056234426,83767.7064060742,54.695,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-04-30,2018-03-30,2018-04-30,1530.9367865237436,84524.55092076241,55.211,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-01,2018-04-01,2018-05-01,1530.6993956646959,84511.44433404352,55.211,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-02,2018-04-02,2018-05-02,1532.1559464807965,84014.239169328,54.834,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-03,2018-04-03,2018-05-03,1533.0857618719615,83447.39110445273,54.431,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-04,2018-04-04,2018-05-04,1533.5049188510086,83480.94077241121,54.438,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-05,2018-04-05,2018-05-05,1534.8675645043115,83555.12047648571,54.438,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-06,2018-04-06,2018-05-06,1534.370133063696,83528.04130372147,54.438,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-07,2018-04-07,2018-05-07,1530.5796658350525,83783.93090781078,54.74,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-08,2018-04-08,2018-05-08,1528.9595133837352,83933.76144671353,54.896,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-09,2018-04-09,2018-05-09,1525.844732523378,83678.85097631458,54.841,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-10,2018-04-10,2018-05-10,1524.432187579968,83075.45649435795,54.496,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-11,2018-04-11,2018-05-11,1524.360464816286,83591.35480913067,54.837,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-12,2018-04-12,2018-05-12,1522.658254766883,83498.01071665157,54.837,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-13,2018-04-13,2018-05-13,1521.0166608414133,83407.99063056058,54.837,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-14,2018-04-14,2018-05-14,1521.233164374158,83428.99043377195,54.843,12
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-15,2018-04-15,2018-05-15,1521.621623580574,82826.42983636138,54.433,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-16,2018-04-16,2018-05-16,1520.9737390166877,82067.18003612342,53.957,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-17,2018-04-17,2018-05-17,1521.065101880952,81999.09857730023,53.909,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-18,2018-04-18,2018-05-18,1520.837432385285,80408.1958876424,52.871,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-19,2018-04-19,2018-05-19,1521.3512657642323,80435.36277222073,52.871,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-20,2018-04-20,2018-05-20,1522.142938186553,80477.21928486125,52.871,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-21,2018-04-21,2018-05-21,1519.6085140121088,79452.73115512311,52.285,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-22,2018-04-22,2018-05-22,1518.5884772154097,80064.54028422805,52.723,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-23,2018-04-23,2018-05-23,1518.993264189509,79385.62597307212,52.262,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-24,2018-04-24,2018-05-24,1516.8492133133163,79570.87603198994,52.458,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-25,2018-04-25,2018-05-25,1517.277420352837,80280.66558828896,52.911,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-26,2018-04-26,2018-05-26,1517.3040415967796,80282.0741449272,52.911,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-27,2018-04-27,2018-05-27,1516.6559323819326,80247.78203826044,52.911,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-28,2018-04-28,2018-05-28,1513.826995234483,81654.31429595279,53.939,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-29,2018-04-29,2018-05-29,1512.0898675713934,80957.2915097724,53.54,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-30,2018-04-30,2018-05-30,1511.8719416976412,80206.31837900156,53.051,10
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-05-31,2018-04-30,2018-05-31,1511.2432785521485,80590.07031535041,53.327,11
HDFC Hybrid Equity Fund - Direct - Growth,60000.0,2013-06-01,2018-05-01,2018-06-01,1512.9012284139335,80053.65560029488,52.914,10
