Net Asset Value,Repurchase Price,Sale Price,NAV date
54.7321,54.1848,54.7321,01-Apr-13
55.3911,54.8372,55.3911,02-Apr-13
55.1696,54.6179,55.1696,03-Apr-13
54.5162,53.971,54.5162,04-Apr-13
54.3653,53.8216,54.3653,05-Apr-13
54.4256,53.8813,54.4256,08-Apr-13
54.1392,53.5978,54.1392,09-Apr-13
54.2847,53.7419,54.2847,10-Apr-13
54.3309,53.7876,54.3309,11-Apr-13
53.8152,53.277,53.8152,12-Apr-13
53.8915,53.3526,53.8915,15-Apr-13
54.3142,53.7711,54.3142,16-Apr-13
54.5375,53.9921,54.5375,17-Apr-13
54.9817,54.4319,54.9817,18-Apr-13
55.6305,55.0742,55.6305,22-Apr-13
55.7474,55.1899,55.7474,23-Apr-13
56.0627,55.5021,56.0627,25-Apr-13
55.8404,55.282,55.8404,26-Apr-13
56.2166,55.6544,56.2166,29-Apr-13
56.1371,55.5757,56.1371,30-Apr-13
56.5691,56.0034,56.5691,02-May-13
56.5293,55.964,56.5293,03-May-13
56.937,56.3676,56.937,06-May-13
57.1836,56.6118,57.1836,07-May-13
57.3989,56.8249,57.3989,08-May-13
57.3881,56.8142,57.3881,09-May-13
57.4154,56.8412,57.4154,10-May-13
57.2633,56.6907,57.2633,13-May-13
57.4899,56.915,57.4899,14-May-13
58.1229,57.5417,58.1229,15-May-13
58.4439,57.8595,58.4439,16-May-13
58.6498,58.0633,58.6498,17-May-13
58.736,58.1486,58.736,20-May-13
58.5125,57.9274,58.5125,21-May-13
58.3733,57.7896,58.3733,22-May-13
57.5376,56.9622,57.5376,23-May-13
57.8964,57.3174,57.8964,24-May-13
58.244,57.6616,58.244,27-May-13
58.5912,58.0053,58.5912,28-May-13
58.4949,57.91,58.4949,29-May-13
58.4643,57.8797,58.4643,30-May-13
57.781,57.2032,57.781,31-May-13
57.7364,57.159,57.7364,03-Jun-13
57.5953,57.0193,57.5953,04-Jun-13
57.6619,57.0853,57.6619,05-Jun-13
57.5569,56.9813,57.5569,06-Jun-13
57.2923,56.7194,57.2923,07-Jun-13
57.2399,56.6675,57.2399,10-Jun-13
56.4793,55.9145,56.4793,11-Jun-13
56.1881,55.6262,56.1881,12-Jun-13
55.9438,55.3844,55.9438,13-Jun-13
56.404,55.84,56.404,14-Jun-13
56.6215,56.0553,56.6215,17-Jun-13
56.3387,55.7753,56.3387,18-Jun-13
56.537,55.9716,56.537,19-Jun-13
55.7097,55.1526,55.7097,20-Jun-13
55.641,55.0846,55.641,21-Jun-13
54.9463,54.3968,54.9463,24-Jun-13
55.0813,54.5305,55.0813,25-Jun-13
54.8711,54.3224,54.8711,26-Jun-13
55.0999,54.5489,55.0999,27-Jun-13
55.9522,55.3927,55.9522,28-Jun-13
56.6799,56.1131,56.6799,01-Jul-13
56.4679,55.9032,56.4679,02-Jul-13
56.0104,55.4503,56.0104,03-Jul-13
56.3454,55.7819,56.3454,04-Jul-13
56.5268,55.9615,56.5268,05-Jul-13
56.4363,55.8719,56.4363,08-Jul-13
56.6907,56.1238,56.6907,09-Jul-13
56.5722,56.0065,56.5722,10-Jul-13
57.1607,56.5891,57.1607,11-Jul-13
57.4359,56.8615,57.4359,12-Jul-13
57.8425,57.2641,57.8425,15-Jul-13
57.2113,56.6392,57.2113,16-Jul-13
57.043,56.4726,57.043,17-Jul-13
57.5032,56.9282,57.5032,18-Jul-13
57.4403,56.8659,57.4403,19-Jul-13
57.2734,56.7007,57.2734,22-Jul-13
57.5332,56.9579,57.5332,23-Jul-13
56.7422,56.1748,56.7422,24-Jul-13
56.3796,55.8158,56.3796,25-Jul-13
56.2803,55.7175,56.2803,26-Jul-13
