Net Asset Value,Repurchase Price,Sale Price,NAV date
23.752,23.5145,23.752,01-Mar-13
23.7546,23.5171,23.7546,04-Mar-13
23.8069,23.5688,23.8069,05-Mar-13
23.8283,23.59,23.8283,06-Mar-13
23.8538,23.6153,23.8538,07-Mar-13
23.8925,23.6536,23.8925,08-Mar-13
23.9056,23.6665,23.9056,11-Mar-13
23.8862,23.6473,23.8862,12-Mar-13
23.8549,23.6164,23.8549,13-Mar-13
23.9145,23.6754,23.9145,14-Mar-13
23.8955,23.6565,23.8955,15-Mar-13
23.8893,23.6504,23.8893,18-Mar-13
23.8421,23.6037,23.8421,19-Mar-13
23.7915,23.5536,23.7915,20-Mar-13
23.7898,23.5519,23.7898,21-Mar-13
23.759,23.5214,23.759,22-Mar-13
23.7732,23.5355,23.7732,25-Mar-13
23.7806,23.5428,23.7806,26-Mar-13
23.8211,23.5829,23.8211,28-Mar-13
23.8324,N.A.,N.A.,31-Mar-13
23.9014,23.6624,23.9014,02-Apr-13
23.8638,23.6252,23.8638,03-Apr-13
23.8339,23.5956,23.8339,04-Apr-13
23.8521,23.6136,23.8521,05-Apr-13
23.8695,23.6308,23.8695,08-Apr-13
23.8481,23.6096,23.8481,09-Apr-13
23.8811,23.6423,23.8811,10-Apr-13
23.8848,23.646,23.8848,12-Apr-13
23.9273,23.688,23.9273,15-Apr-13
24.0038,23.7638,24.0038,16-Apr-13
24.0315,23.7912,24.0315,17-Apr-13
24.114,23.8729,24.114,18-Apr-13
24.2071,23.965,24.2071,22-Apr-13
24.2321,23.9898,24.2321,23-Apr-13
24.3036,24.0606,24.3036,25-Apr-13
24.3105,24.0674,24.3105,26-Apr-13
24.329,24.0857,24.329,29-Apr-13
24.3616,24.118,24.3616,30-Apr-13
24.4462,24.2017,24.4462,02-May-13
24.4079,24.1638,24.4079,03-May-13
24.4717,24.227,24.4717,06-May-13
24.5065,24.2614,24.5065,07-May-13
24.5721,24.3264,24.5721,08-May-13
24.635,24.3887,24.635,09-May-13
24.6761,24.4293,24.6761,10-May-13
24.6464,24.3999,24.6464,13-May-13
24.7672,24.5195,24.7672,14-May-13
24.9203,24.6711,24.9203,15-May-13
24.9707,24.721,24.9707,16-May-13
24.9972,24.7472,24.9972,17-May-13
25.0186,24.7684,25.0186,20-May-13
25.0139,24.7638,25.0139,21-May-13
24.9833,24.7335,24.9833,22-May-13
24.8787,24.6299,24.8787,23-May-13
24.9444,24.695,24.9444,24-May-13
24.9962,24.7462,24.9962,27-May-13
25.0146,24.7645,25.0146,28-May-13
24.9684,24.7187,24.9684,29-May-13
24.9369,24.6875,24.9369,30-May-13
24.8325,24.5842,24.8325,31-May-13
24.8443,24.5959,24.8443,03-Jun-13
24.8719,24.6232,24.8719,04-Jun-13
24.8993,24.6503,24.8993,05-Jun-13
24.89,24.6411,24.89,06-Jun-13
24.84,24.5916,24.84,07-Jun-13
24.789,24.5411,24.789,10-Jun-13
24.6762,24.4294,24.6762,11-Jun-13
24.6476,24.4011,24.6476,12-Jun-13
24.5703,24.3246,24.5703,13-Jun-13
24.6414,24.395,24.6414,14-Jun-13
24.7401,24.4927,24.7401,17-Jun-13
24.7364,24.489,24.7364,18-Jun-13
24.7456,24.4981,24.7456,19-Jun-13
24.5478,24.3023,24.5478,20-Jun-13
24.5346,24.2893,24.5346,21-Jun-13
24.4277,24.1834,24.4277,24-Jun-13
24.4165,24.1723,24.4165,25-Jun-13
24.3611,24.1175,24.3611,26-Jun-13
24.3635,24.1199,24.3635,27-Jun-13
24.5524,24.3069,24.5524,28-Jun-13
24.5987,24.3527,24.5987,02-Jul-13
24.4913,24.2464,24.4913,03-Jul-13
24.5665,24.3208,24.5665,04-Jul-13
24.5561,24.3105,24.5561,05-Jul-13
24.4827,24.2379,24.4827,08-Jul-13
24.5236,24.2784,24.5236,09-Jul-13
24.5085,24.2634,24.5085,10-Jul-13
24.5831,24.3373,24.5831,11-Jul-13
24.5738,24.3281,24.5738,12-Jul-13
24.5732,24.3275,24.5732,15-Jul-13
24.0547,23.8142,24.0547,16-Jul-13
24.0343,23.794,24.0343,17-Jul-13
24.1294,23.8881,24.1294,18-Jul-13
24.1883,23.9464,24.1883,19-Jul-13
24.1003,23.8593,24.1003,22-Jul-13
24.0257,23.7854,24.0257,23-Jul-13
23.8583,23.6197,23.8583,24-Jul-13
23.8991,23.6601,23.8991,25-Jul-13
23.9272,23.6879,23.9272,26-Jul-13
23.9055,23.6664,23.9055,29-Jul-13
23.8221,23.5839,23.8221,30-Jul-13
23.8077,23.5696,23.8077,31-Jul-13
23.8232,23.585,23.8232,01-Aug-13
23.7601,23.5225,23.7601,02-Aug-13
23.8143,23.5762,23.8143,05-Aug-13
23.7124,23.4753,23.7124,06-Aug-13
